Estado,Sexo,Rango_Edades,Personas
Ciudad de México,Hombres,De 20 a 24 años,32816
Ciudad de México,Hombres,De 25 a 29 años,31523
Ciudad de México,Hombres,De 30 a 34 años,26839
Ciudad de México,Hombres,De 35 a 39 años,23441
Ciudad de México,Hombres,De 40 a 44 años,18988
Ciudad de México,Hombres,De 45 a 49 años,16888
Ciudad de México,Hombres,De 50 a 54 años,15983
Ciudad de México,Hombres,De 55 a 59 años,12288
Ciudad de México,Hombres,De 60 a 64 años,9054
Ciudad de México,Hombres,De 65 a 69 años,6025
Ciudad de México,Mujeres,De 15 a 19 años,18712
Ciudad de México,Mujeres,De 20 a 24 años,23634
Ciudad de México,Mujeres,De 25 a 29 años,23226
Ciudad de México,Mujeres,De 30 a 34 años,19896
Ciudad de México,Mujeres,De 35 a 39 años,17338
Ciudad de México,Mujeres,De 40 a 44 años,14360
Ciudad de México,Mujeres,De 45 a 49 años,13216
Ciudad de México,Mujeres,De 50 a 54 años,11947
Ciudad de México,Mujeres,De 55 a 59 años,8279
Ciudad de México,Mujeres,De 60 a 64 años,6123
Ciudad de México,Mujeres,De 65 a 69 años,3747
Durango,Hombres,De 15 a 19 años,3610
Durango,Hombres,De 20 a 24 años,3605
Durango,Hombres,De 25 a 29 años,3120
Durango,Hombres,De 30 a 34 años,2781
Durango,Hombres,De 35 a 39 años,2505
Durango,Hombres,De 40 a 44 años,1997
Durango,Hombres,De 45 a 49 años,1563
Durango,Hombres,De 50 a 54 años,1344
Durango,Hombres,De 55 a 59 años,1090
Durango,Hombres,De 60 a 64 años,892
Durango,Hombres,De 65 a 69 años,623
Durango,Mujeres,De 15 a 19 años,2736
Durango,Mujeres,De 20 a 24 años,2616
Durango,Mujeres,De 25 a 29 años,2148
Durango,Mujeres,De 30 a 34 años,1935
Durango,Mujeres,De 35 a 39 años,1572
Durango,Mujeres,De 40 a 44 años,1257
Durango,Mujeres,De 45 a 49 años,1009
Durango,Mujeres,De 50 a 54 años,723
Durango,Mujeres,De 55 a 59 años,515
Durango,Mujeres,De 60 a 64 años,355
Durango,Mujeres,De 65 a 69 años,220
Guanajuato,Hombres,De 15 a 19 años,4333
Guanajuato,Hombres,De 20 a 24 años,4856
Guanajuato,Hombres,De 25 a 29 años,4164
Guanajuato,Hombres,De 30 a 34 años,3647
Guanajuato,Hombres,De 35 a 39 años,3356
Guanajuato,Hombres,De 40 a 44 años,2873
Guanajuato,Hombres,De 45 a 49 años,2530
Guanajuato,Hombres,De 50 a 54 años,2194
Guanajuato,Hombres,De 55 a 59 años,1829
Guanajuato,Hombres,De 60 a 64 años,1413
Guanajuato,Hombres,De 65 a 69 años,1061
Guanajuato,Mujeres,De 15 a 19 años,3402
Guanajuato,Mujeres,De 20 a 24 años,3426
Guanajuato,Mujeres,De 25 a 29 años,2953
Guanajuato,Mujeres,De 30 a 34 años,2657
Guanajuato,Mujeres,De 35 a 39 años,2372
Guanajuato,Mujeres,De 40 a 44 años,2012
